Artist ID,"Artist",Certified Units,Gold,Platinum,Multi-Platinum,Diamond
6937324ed09f7a834d426b582b3d7d6e,"BOBBY BROWN",10,3,3,2,0
fc5cb84abe14798b2e92a952fa5137f8,"CROSBY, STILLS & NASH",10,4,4,2,0
cdd8fcc0c4c4b49ecf03cf7903e875f4,"EVANESCENCE",10,4,2,2,0
3c3d180f7db3b037793353ffa1fb3f6c,"KIRK FRANKLIN",10,8,6,2,0
7404a7f018441532314b476e0af14a68,"MASTER P",10,6,4,2,0
e92ca4c038b7042cbf1ebfc26ac8c21a,"NINE INCH NAILS",10,5,3,3,0
75e07adad381d5b5bcbb2f4110c1bcbd,"PAUL MC CARTNEY & WINGS",10,9,7,1,0
c6ef1b35378f53bc6e5fa6e76053b235,"PETER FRAMPTON",10,4,2,1,0
491005492f01b49df6a4715f26dcaefb,"PETER GABRIEL",10,7,3,2,0
b8f4fbcb9a83e560070ab7a62ae4ef52,"SAVAGE GARDEN",10,2,2,2,0
6730419a24d5200543f6f5dbf5bc72b9,"THE MOODY BLUES",10,14,6,0,0
a762e0df5d11dc54e27473014a845e9b,"TINA TURNER",10,7,5,1,0
b040e29e282a096f2960782aed5299c4,"VAN MORRISON",10,8,2,2,0
2c19764483a4157918591ef4cf4a6751,"AIR SUPPLY",9.5,5,4,2,0
4c24315c13ae2febd66eaeeb525d2a7b,"BLUES TRAVELER",9.5,6,3,1,0
eb6929cfe9486e346746f796cec77d17,"DAVID BOWIE",9.5,14,5,0,0
4e1ee7b6d7819d25d692815f8b4ced0b,"DEAN MARTIN",9.5,17,2,0,0
c3882e4822a670987718f9cbbc0e96ab,"DR. DRE",9.5,3,2,2,0
bfe55dc5556474fd08b1cfc36f7319f9,"JUDAS PRIEST",9.5,12,5,1,0
40933b8a0f093451b3820cdbd87e999a,"MEN AT WORK",9.5,3,2,2,0
2de0b1a3a4b4ed2fba7cfdc1ff86803b,"RICHARD MARX",9.5,5,4,2,0
c80b0fadd7a2abf88d8775d97a792c49,"SUBLIME",9.5,6,3,2,0
b1d8b7ac9dbb325191a1e865a95491a3,"TONY BENNETT",9.5,12,5,1,0
a0bd548725c5065f22a9958ccda2c453,"\'WEIRD AL\' YANKOVIC",9,10,6,1,0
2e6828308043571265379996ac03bb9c,"ARIANA GRANDE",9,6,6,3,0
de4b71a0be8024ef62a162345577a8e1,"BREAD",9,8,2,1,0
77cf6d9d06f5f47a9f7c86a516286a30,"CHEAP TRICK",9,8,6,1,0
254a0ba3f788577dcad8a2fcaca104e1,"DONNA SUMMER",9,11,3,2,0
817839f35238fffad636d4d71a16d39f,"GLEN CAMPBELL",9,11,5,1,0
48946b8ac61f71fd0c1de08149ec7a6b,"JULIO IGLESIAS",9,8,2,2,0
